text_raw,text_norm,emojis,emojis_count,emoji_sent,lang_primary,lang_probs,is_mixed,mix_ratio,has_kk_chars,has_ru_chars,text,username,like_count,created_at_utc,source_post_url,batch_extracted_at,post_total_comments,post_note,has_profanity,profanity_hits,spam_score,is_spam,toxicity_model,toxicity_score,toxicity_label,moderation_reasons,type,type_rules,sentiment,sentiment_score,sentiment_model,sentiment_probs_json
Почему интернет не работает?,Почему интернет не работает?,,0,0.0,ru,"{""ru"": 0.9986, ""hy"": 0.0003, ""sr"": 0.0003}",False,0.0,False,False,Почему интернет не работает?,l.utegalieva,2,2025-09-19T13:33:28+00:00,DOvyiAADftX,2025-09-21T00:31:07.942035,16,,False,0,0.0,False,ru_rubert_tiny,0.0194,non_toxic,[],complaint,"[""ru:question"", ""ru:complaint""]",negative,-0.7909,ru_rubert_tiny_snt,"{""negative"": 0.9915208963839637, ""neutral"": 0.0055687585363956744, ""positive"": 0.002910345079640652}"
"Отвратительное отношение к аборигенам!
Ничего не работает, а оплата за тариф снимается мгновенно.
Дозвониться не возможно.
Каждый день вы теряете своих абонентов с таким отношением.
Благо есть другие операторы сотовой связи. Удачи","Отвратительное отношение к аборигенам! Ничего не работает, а оплата за тариф снимается мгновенно. Дозвониться не возможно. Каждый день вы теряете своих абонентов с таким отношением. Благо есть другие операторы сотовой связи. Удачи",,0,0.0,ru,"{""ru"": 0.9986, ""uk"": 0.0004, ""ce"": 0.0003}",False,0.0,False,True,"Отвратительное отношение к аборигенам!
Ничего не работает, а оплата за тариф снимается мгновенно.
Дозвониться не возможно.
Каждый день вы теряете своих абонентов с таким отношением.
Благо есть другие операторы сотовой связи. Удачи",val_levchenko,0,2025-09-20T11:23:15+00:00,DOvyiAADftX,2025-09-21T00:31:07.942035,16,,False,0,0.0,False,ru_rubert_tiny,0.1861,non_toxic,[],complaint,"[""ru:complaint""]",negative,-0.7776,ru_rubert_tiny_snt,"{""negative"": 0.9738737633545196, ""neutral"": 0.02421726768802857, ""positive"": 0.0019089689574518023}"
Интернет қашан дұрыс жасайды мүлде сеть жоқ,Интернет қашан дұрыс жасайды мүлде сеть жоқ,,0,0.0,kk,"{""kk"": 0.9993, ""ba"": 0.0005, ""ru"": 0.0002}",False,0.1929,True,True,Интернет қашан дұрыс жасайды мүлде сеть жоқ,ainur_3188,2,2025-09-19T16:00:23+00:00,DOvyiAADftX,2025-09-21T00:31:07.942035,16,,False,0,0.0,False,mbert_textdetox,0.024,non_toxic,[],question,"[""kk:question""]",negative,-0.7247,kk_rembert_polarity,"{""negative"": 0.9101558527195808, ""neutral"": 0.0449220736402096, ""positive"": 0.0449220736402096}"
"Здравствуйте! Неделю назад заявку оставлял! Исходящие звонки не осуществляются, не могу позвонить даже в Каспий банк? Что за отношение у вас клиентам, в колл центр не дозвонишься, сбрасывают! Все сложно у вас, нет никакой оперативности, обслуживание на нуле 🥺","Здравствуйте! Неделю назад заявку оставлял! Исходящие звонки не осуществляются, не могу позвонить даже в Каспий банк? Что за отношение у вас клиентам, в колл центр не дозвонишься, сбрасывают! Все сложно у вас, нет никакой оперативности, обслуживание на нуле 🥺",🥺,1,0.0,ru,"{""ru"": 0.998, ""uk"": 0.0007, ""bg"": 0.0006}",False,0.0,False,True,"Здравствуйте! Неделю назад заявку оставлял! Исходящие звонки не осуществляются, не могу позвонить даже в Каспий банк? Что за отношение у вас клиентам, в колл центр не дозвонишься, сбрасывают! Все сложно у вас, нет никакой оперативности, обслуживание на нуле 🥺",kb_alen,0,2025-09-20T12:15:06+00:00,DOvyiAADftX,2025-09-21T00:31:07.942035,16,,False,0,0.0,False,ru_rubert_tiny,0.3654,non_toxic,[],question,"[""ru:question""]",negative,-0.7239,ru_rubert_tiny_snt,"{""negative"": 0.9125346169430675, ""neutral"": 0.07974772126940555, ""positive"": 0.00771766178752702}"
Что за интернет? Его вообще нет. Просто ужасная связь!!!,Что за интернет? Его вообще нет. Просто ужасная связь!!,,0,0.0,ru,"{""ru"": 0.9978, ""hy"": 0.0007, ""az"": 0.0003}",False,0.0,False,True,Что за интернет? Его вообще нет. Просто ужасная связь!!!,k.n.z___19,0,2025-09-20T14:46:51+00:00,DOvyiAADftX,2025-09-21T00:31:07.942035,16,,False,0,0.0,False,ru_rubert_tiny,0.0159,non_toxic,[],question,"[""ru:question""]",negative,-0.7967,ru_rubert_tiny_snt,"{""negative"": 0.9960911282932556, ""neutral"": 0.003674457771371624, ""positive"": 0.00023441393537277714}"
"@altel_kz  вы издеваетесь, да?! До вас не дозвониться, роутер не работает на 5 джи, только 4 джи, элементарно видео по ватсап не могу отправить !!! Беспредел полнейший, в колл центр к вам не дозвониться!!!","@altel_kz вы издеваетесь, да?! До вас не дозвониться, роутер не работает на 5 джи, только 4 джи, элементарно видео по ватсап не могу отправить !! Беспредел полнейший, в колл центр к вам не дозвониться!!",,0,0.0,ru,"{""ru"": 0.9966, ""uk"": 0.0018, ""ce"": 0.0006}",False,0.0,False,True,"@altel_kz  вы издеваетесь, да?! До вас не дозвониться, роутер не работает на 5 джи, только 4 джи, элементарно видео по ватсап не могу отправить !!! Беспредел полнейший, в колл центр к вам не дозвониться!!!",maratkyzy0804,5,2025-09-18T15:18:28+00:00,DOvyiAADftX,2025-09-21T00:31:07.942035,16,,False,0,0.35,False,ru_rubert_tiny,0.0547,non_toxic,[],complaint,"[""ru:question"", ""ru:complaint""]",negative,-0.769,ru_rubert_tiny_snt,"{""negative"": 0.9636687913814167, ""neutral"": 0.033936987440322475, ""positive"": 0.00239422117826077}"
"Самый отвратительный сервис обслуживания клиентов. Дозвонится невозможно, бесполезный бот в Телеграм, непрозрачные обманные акции. Разочарован. После 15 лет буду менять оператор. @altel_kz - разочарование","Самый отвратительный сервис обслуживания клиентов. Дозвонится невозможно, бесполезный бот в Телеграм, непрозрачные обманные акции. Разочарован. После 15 лет буду менять оператор. @altel_kz - разочарование",,0,0.0,ru,"{""ru"": 0.9938, ""ce"": 0.0014, ""ba"": 0.0012}",False,0.0,False,True,"Самый отвратительный сервис обслуживания клиентов. Дозвонится невозможно, бесполезный бот в Телеграм, непрозрачные обманные акции. Разочарован. После 15 лет буду менять оператор. @altel_kz - разочарование",lonely.defender,1,2025-09-18T16:10:06+00:00,DOvyiAADftX,2025-09-21T00:31:07.942035,16,,False,0,0.35,False,ru_rubert_tiny,0.2159,non_toxic,[],review,[],negative,-0.7975,ru_rubert_tiny_snt,"{""negative"": 0.9970258002352357, ""neutral"": 0.0028790883146811467, ""positive"": 9.511145008320876e-05}"
Почему у вас интернет тупая,Почему у вас интернет тупая,,0,0.0,ru,"{""ru"": 0.9823, ""sr"": 0.0103, ""ce"": 0.0032}",False,0.0,False,False,Почему у вас интернет тупая,mc_torejan,0,2025-09-19T18:32:41+00:00,DOvyiAADftX,2025-09-21T00:31:07.942035,16,,False,0,0.0,False,ru_rubert_tiny,0.9801,toxic,"[""toxicity:0.98""]",question,"[""ru:question""]",negative,-0.7924,ru_rubert_tiny_snt,"{""negative"": 0.9920269018607766, ""neutral"": 0.006392494078450328, ""positive"": 0.0015806040607730717}"
"Ни в коем случае не покупайте эту связь, самая худшая связь👎👎👎","Ни в коем случае не покупайте эту связь, самая худшая связь👎👎👎",👎👎👎,3,-0.7,ru,"{""ru"": 0.9966, ""be"": 0.0017, ""bg"": 0.0006}",False,0.0,False,True,"Ни в коем случае не покупайте эту связь, самая худшая связь👎👎👎",k.n.z___19,1,2025-09-20T14:48:38+00:00,DOvyiAADftX,2025-09-21T00:31:07.942035,16,,False,0,0.0,False,ru_rubert_tiny,0.0271,non_toxic,[],review,[],negative,-0.8391,ru_rubert_tiny_snt,"{""negative"": 0.8892119717119387, ""neutral"": 0.09543393116792419, ""positive"": 0.015354097120137179}"
"Altel большое спасибо Вам! благодаря вашему нестабильному и слабому интернету reels не грузятся и я наконец то встал делать чай. А то бы опять с стабильным интернетом, пролежал бы часа 2 за несамым интересным и не факт что смешным контентом","Altel большое спасибо Вам! благодаря вашему нестабильному и слабому интернету reels не грузятся и я наконец то встал делать чай. А то бы опять с стабильным интернетом, пролежал бы часа 2 за несамым интересным и не факт что смешным контентом",,0,0.0,ru,"{""ru"": 0.9966, ""ce"": 0.0009, ""uk"": 0.0009}",False,0.0,False,True,"Altel большое спасибо Вам! благодаря вашему нестабильному и слабому интернету reels не грузятся и я наконец то встал делать чай. А то бы опять с стабильным интернетом, пролежал бы часа 2 за несамым интересным и не факт что смешным контентом",winters443,0,2025-09-20T02:57:06+00:00,DOvyiAADftX,2025-09-21T00:31:07.942035,16,,False,0,0.0,False,ru_rubert_tiny,0.6917,toxic,"[""toxicity:0.69""]",thanks,"[""ru:thanks""]",positive,0.7242,ru_rubert_tiny_snt,"{""negative"": 0.03546961436572985, ""neutral"": 0.023818936465147173, ""positive"": 0.940711449169123}"
